APC,Prov_State,OutptSvcs,AvgEstSubChg,AvgTotPay
0096 - Level II Noninvasive Physiologic Studies,AZ,323,1929.09,326.59
0096 - Level II Noninvasive Physiologic Studies,CA,671,3710.53,403.32
0096 - Level II Noninvasive Physiologic Studies,CO,107,2336.89,325.54
0096 - Level II Noninvasive Physiologic Studies,CT,68,2215.9,372.48
0096 - Level II Noninvasive Physiologic Studies,DC,66,2739.78,324.83
0096 - Level II Noninvasive Physiologic Studies,DE,97,466.01,326.08
0096 - Level II Noninvasive Physiologic Studies,FL,1118,2620.05,303.63
0096 - Level II Noninvasive Physiologic Studies,GA,482,2316.65,301.22
0096 - Level II Noninvasive Physiologic Studies,IA,116,2186.54,304.97
0096 - Level II Noninvasive Physiologic Studies,ID,23,1584.58,301.91
0096 - Level II Noninvasive Physiologic Studies,IL,469,3079.7,320.09
0096 - Level II Noninvasive Physiologic Studies,IN,714,1629.63,313.44
0096 - Level II Noninvasive Physiologic Studies,KS,162,2722.65,299.82
0096 - Level II Noninvasive Physiologic Studies,KY,506,2619.56,291.27
0096 - Level II Noninvasive Physiologic Studies,LA,443,1587.63,279.69
0096 - Level II Noninvasive Physiologic Studies,MA,240,1532.71,386.3
0096 - Level II Noninvasive Physiologic Studies,ME,54,1230.85,323.45
0096 - Level II Noninvasive Physiologic Studies,MI,644,1472.14,317.25
0096 - Level II Noninvasive Physiologic Studies,MN,89,1702.28,340.98
0096 - Level II Noninvasive Physiologic Studies,MO,257,1719.96,298.27
0096 - Level II Noninvasive Physiologic Studies,MS,394,2245.28,283.21
0096 - Level II Noninvasive Physiologic Studies,MT,18,1741.85,328.41
0096 - Level II Noninvasive Physiologic Studies,NC,386,2068.16,299.19
0096 - Level II Noninvasive Physiologic Studies,ND,15,1241.57,324.49
0096 - Level II Noninvasive Physiologic Studies,NE,50,3362.26,319.76
0096 - Level II Noninvasive Physiologic Studies,NH,41,1531.87,350.88
0096 - Level II Noninvasive Physiologic Studies,NJ,385,3152.13,373.04
0096 - Level II Noninvasive Physiologic Studies,NV,122,3123.38,351.78
0096 - Level II Noninvasive Physiologic Studies,NY,520,3519.87,361.37
0096 - Level II Noninvasive Physiologic Studies,OH,858,2217.01,298.11
0096 - Level II Noninvasive Physiologic Studies,OK,218,1619.45,291.15
0096 - Level II Noninvasive Physiologic Studies,OR,62,1406.58,339.82
0096 - Level II Noninvasive Physiologic Studies,PA,387,2726.33,312.72
0096 - Level II Noninvasive Physiologic Studies,RI,18,1170.58,358.6
0096 - Level II Noninvasive Physiologic Studies,SC,241,2289.38,297.77
0096 - Level II Noninvasive Physiologic Studies,SD,39,1407.83,324.49
0096 - Level II Noninvasive Physiologic Studies,TN,400,1711.41,287.6
0096 - Level II Noninvasive Physiologic Studies,TX,579,3885.09,298.22
0096 - Level II Noninvasive Physiologic Studies,UT,52,1294.1,310.29
0096 - Level II Noninvasive Physiologic Studies,VA,554,1915.68,312.04
0096 - Level II Noninvasive Physiologic Studies,WA,83,1640.54,350.1
0096 - Level II Noninvasive Physiologic Studies,WI,285,3518.49,319.36
0096 - Level II Noninvasive Physiologic Studies,WV,298,836.09,278.36
0203 - Level IV Nerve Injections,AK,24,5263.17,1508.16
0203 - Level IV Nerve Injections,AL,398,7062.91,1101.15
0203 - Level IV Nerve Injections,AR,2068,4149.23,1258.31
0203 - Level IV Nerve Injections,AZ,598,5136.36,1204.25
0203 - Level IV Nerve Injections,CA,2927,9355.8,1423.71
0203 - Level IV Nerve Injections,CO,742,8440.52,1298.32
0203 - Level IV Nerve Injections,CT,258,6267.75,1487.62
0203 - Level IV Nerve Injections,FL,2414,6012.37,1212.7
0203 - Level IV Nerve Injections,GA,1304,5391.43,1141.43
0203 - Level IV Nerve Injections,HI,25,4637.96,1411.83
0203 - Level IV Nerve Injections,IA,798,5529.31,1147.16
0203 - Level IV Nerve Injections,ID,472,4383.17,1132.82
0203 - Level IV Nerve Injections,IL,2449,7144.97,1331.35
0203 - Level IV Nerve Injections,IN,1489,4640.96,1170.14
0203 - Level IV Nerve Injections,KS,1089,6624.79,1211.97
0203 - Level IV Nerve Injections,KY,655,6031.01,1128.97
0203 - Level IV Nerve Injections,LA,1536,8862.09,1195.25
0203 - Level IV Nerve Injections,MA,2692,4525.75,1462.42
0203 - Level IV Nerve Injections,ME,330,3622.23,1315.11
0203 - Level IV Nerve Injections,MI,1409,5053.7,1224.67
0203 - Level IV Nerve Injections,MN,723,5007.24,1254.49
0203 - Level IV Nerve Injections,MO,2837,4336.65,1147.44
0203 - Level IV Nerve Injections,MS,647,6108.94,1101.99
0203 - Level IV Nerve Injections,MT,187,2129.32,1225.82
0203 - Level IV Nerve Injections,NC,1775,6601.59,1209.86
0203 - Level IV Nerve Injections,ND,245,3956.27,1234.15
0203 - Level IV Nerve Injections,NE,277,5102.7,1208.03
0203 - Level IV Nerve Injections,NH,576,4861.3,1294.66
0203 - Level IV Nerve Injections,NJ,723,7293.63,1486.42
0203 - Level IV Nerve Injections,NM,845,8914.39,1290.6
0203 - Level IV Nerve Injections,NV,410,8572.57,1327.03
0203 - Level IV Nerve Injections,NY,2138,5038.9,1418.58
0203 - Level IV Nerve Injections,OH,4289,4881.67,1246.99
0203 - Level IV Nerve Injections,OK,1701,6237.39,1158.63
0203 - Level IV Nerve Injections,OR,207,4286.72,1169.5
0203 - Level IV Nerve Injections,PA,1587,6952.4,1276.93
0203 - Level IV Nerve Injections,RI,119,6427.87,1303.33
0203 - Level IV Nerve Injections,SC,1088,8442.7,1284.87
0203 - Level IV Nerve Injections,SD,715,3035.05,1124.03
0203 - Level IV Nerve Injections,TN,543,8637.01,1035.1
0203 - Level IV Nerve Injections,TX,5112,7969.26,1155.83
0203 - Level IV Nerve Injections,UT,409,6280.14,1179
0203 - Level IV Nerve Injections,VA,989,5479.01,1248.13
